author,year,Isotropy,regularity_x,regularity_y,Le_rel,p_periodic,dimension,type,mtype,hassdf
this study,NaN,anisotropic,1.167979,0.8519616,19.3099437741937,0.419770479202271,2,nature,,1
this study,NaN,isotropic,0.6420482,0.3713722,25.6625788522665,0.735836625099182,2,nature,,1
this study,NaN,anisotropic,11.58581,8.595965,12.4039250547301,0.005,2,model,homogeneous,1
this study,NaN,anisotropic,1.633122,0.7480345,20.2926160018796,0.0181930661201477,2,model,homogeneous,1
koppel,2012,anisotropic,3.490695,2.106476,10.6308572758147,0.133962154388428,2,model,homogeneous,1
koppel,2012,anisotropic,4.155103,2.28651,9.74571827579611,0.005,2,model,homogeneous,1
kastner,2023,anisotropic,0.6882597,0.4876455,7.06010814903107,0.178502798080444,2,nature,,1
kastner,2023,isotropic,0.4845057,0.351035,16.834,0.954641461372375,2,nature,,1
kastner,2023,anisotropic,0.7780941,0.6930627,11.6127337031614,0.902318775653839,2,nature,,1
dunkerley,2018,anisotropic,0.5294763,0.5496788,26.4472448941199,0.594218134880066,2,nature,,1
dunkerley,2018,anisotropic,0.5084326,0.4612727,15.3799500799202,0.0144217610359192,2,nature,,1
dunkerley,2018,anisotropic,0.8429685,0.5331483,13.1696992057941,0.785338222980499,2,nature,,1
dunkerley,2018,anisotropic,1.297151,1.093731,34.3722866989434,0.271554350852966,2,nature,,1
meron,2021,isotropic,3.288686,0.5296351,6.2016964962429,0.005,2,model,homogeneous,1
siteur,2014,anisotropic,51.00529,NaN,48.6234639663207,0.005,1,model,homogeneous,1
juergens,2013,isotropic,0.3664828,0.7862356,19.3773107843278,0.005,2,nature,,1
white,1970,anisotropic,1.100129,0.4804103,12.5584948461813,0.244335830211639,2,nature,,1
roitberg,2017,isotropic,1.936926,0.4028095,7.08523926422879,0.119864404201508,2,model,homogeneous,1
roitberg,2017,isotropic,1.380333,1.042516,7.08789071087748,0.330571055412292,2,model,homogeneous,1
ambouta,1997,anisotropic,1.520656,0.8044469,14.2918249627789,0.801769018173218,2,nature,,1
ambouta,1997,anisotropic,1.162952,1.029526,12.3839701081341,0.919711768627167,2,nature,,1
ambouta,1997,anisotropic,1.440273,0.7221764,9.48602588847641,0.0545101761817932,2,nature,,1
